 06 45 21   -16 43 18   m-1.5 a.CMa-Sirius
 06 24 03   -52 41 54   m-0.8 a.Car-Canopus
 14 39 56   -60 51 16   m-0.3 a.Cen-AlphaCentauri
 14 15 52   +19 09 45   m0 a.Boo-Arcturus
 18 37 05   +38 47 15   m0 a.Lyr-Vega
 05 17 00   +46 00 11   m0.1 a.Aur-Capella
 05 14 45   -08 11 48   m0.1 b.Ori-Rigel
 07 39 32   +05 12 52   m0.4 a.CMi-Procyon
 01 37 52   -57 12 50   m0.5 a.Eri-Achernar
 05 55 24   +07 24 04   m0.5 a.Ori-Betelgeuse
 14 04 08   -60 23 41   m0.6 b.Cen-Hadar
 12 26 51   -63 07 27   m0.8 a.Cru-Acrux
 19 51 00   +08 52 48   m0.8 a.Aql-Altair
 04 36 10   +16 31 02   m0.9 a.Tau-Alderbaran
 16 29 40   -26 26 29   m1.0 a.Sco-Antares
 13 25 26   -11 11 07   m1.0 a.Vir-Spica
 07 45 35   +28 00 56   m1.1 b.Gem-Pollux
 22 57 53   -29 35 51   m1.2 a.Psa-Fomalhaut
 12 47 59   -59 42 47   m1.3 b.Cru-Mimosa
 20 41 35   +45 17 47   m1.3 a.Cyg-Deneb
 10 08 36   +11 56 40   m1.4 a.Leo-Regulus
 06 58 48   -28 58 41   m1.5 e.CMa-Adhara
 07 34 53   +31 52 42   m1.6 a.Gem-Castor
 12 31 25   -57 08 18   m1.6 g.Cru-Gacrux
 17 33 54   -37 06 22   m1.6 l.Sco-Shaula
