 02 36 52   +89 17 05   a.UMi-Polaris
 03 24 38   +49 52 40   a.Per-Mirfak
 04 36 10   +16 31 02   a.Tau-Alderbaran
 05 14 45   -08 11 48   b.Ori-Rigel
 05 17 00   +46 00 11   a.Aur-Capella
 05 25 22   +06 21 14   g.Ori-Bellatrix
 05 26 35   +28 36 43   b.Tau-Elnath
 05 36 26   -01 11 57   e.Ori-Alnilam
 05 55 24   +07 24 04   a.Ori-Betelgeuse
 06 45 21   -16 43 18   a.CMa-Sirius
 06 58 48   -28 58 41   e.CMa-Adhara
 07 34 53   +31 52 42   a.Gem-Castor
 07 39 32   +05 12 52   a.CMi-Procyon
 07 45 35   +28 00 56   b.Gem-Pollux
 10 08 36   +11 56 40   a.Leo-Regulus
 11 04 00   +61 43 32   a.UMa-Dubhe
 13 25 26   -11 11 07   a.Vir-Spica
 14 15 52   +19 09 45   a.Boo-Arcturus
 16 29 40   -26 26 29   a.Sco-Antares
 17 33 54   -37 06 22   l.Sco-Shaula
 18 37 05   +38 47 15   a.Lyr-Vega
 19 51 00   +08 52 48   a.Aql-Altair
 20 41 35   +45 17 47   a.Cyg-Deneb
 22 57 53   -29 35 51   a.Psa-Fomalhaut
