 05  34  30   +22  01  00 M1   Pl Crab
 21  33  30   +00 -49  00 M2   Gb
 13  42  12   +28  23  00 M3   Gb
 16  23  36   -26  32  00 M4   Gb
 15  18  36   +02  05  00 M5   Gb
 17  40  06   -32  13  00 M6   OC
 17  54  00   -34  49  00 M7   OC
 18  03  48   -24  23  00 M8   Nb Lagoon
 17  19  12   -18  31  00 M9   Gb
 16  57  06   -04  06  00 M10  Gb
 18  51  06   -06  16  00 M11  OC Wild Duck
 16  47  12   -01  57  00 M12  Gb
 16  41  42   +36  28  00 M13  Gb Hercules
 17  37  36   -03  15  00 M14  Gb
 21  30  00   +12  10  00 M15  Gb
 18  18  48   -13  47  00 M16  CN Eagle
 18  20  48   -16  11  00 M17  CN Omega
 18  19  54   -17  08  00 M18  OC
 17  02  36   -26  16  00 M19  Gb
 18  02  18   -23  02  00 M20  CN Trifid
 18  04  36   -22  30  00 M21  OC
 18  36  24   -23  54  00 M22  Gb
 17  56  48   -19  01  00 M23  OC
 18  18  24   -18  25  00 M24  OC
 18  31  36   -19  15  00 M25  OC
 18  45  12   -09  24  00 M26  OC
 19  59  36   +22  43  00 M27  Pl Dumbbell
 18  24  30   -24  52  00 M28  Gb
 20  23  54   +38  32  00 M29  OC
 21  40  24   -23  11  00 M30  Gb
 00  42  42   +41  16  00 M31  Gx Andromeda
 00  42  42   +40  52  00 M32  Gx
 01  33  54   +30  39  00 M33  Gx
 02  42  00   +42  47  00 M34  OC
 06  08  54   +24  20  00 M35  OC
 05  36  06   +34  08  00 M36  OC
 05  52  24   +32  33  00 M37  OC
 05  28  42   +35  50  00 M38  OC
 21  32  12   +48  26  00 M39  OC
 12  22  00   +58  05  00 M40  D*
 06  47  00   -20  44  00 M41  OC
 05  35  24   -05  27  00 M42  Nb Orion Neb
 05  35  36   -05  16  00 M43  Nb Orion Neb
 08  40  06   +19  59  00 M44  OC Praesepe
 03  46  54   +24  07  00 M45  CN Pleiades
 07  41  48   -14  49  00 M46  OC
 07  36  36   -14  30  00 M47  OC
 08  13  48   -05  48  00 M48  OC
 12  29  48   +08  00  00 M49  Gx
 07  03  12   -08  20  00 M50  OC
 13  29  54   +47  12  00 M51  Gx Whirlpool
 23  24  12   +61  35  00 M52  OC
 13  12  54   +18  10  00 M53  Gb
 18  55  06   -30  29  00 M54  Gb
 19  40  00   -30  58  00 M55  Gb
 19  16  36   +30  11  00 M56  Gb
 18  53  36   +33  02  00 M57  Pl Ring
 12  37  42   +11  49  00 M58  Gx
 12  42  00   +11  39  00 M59  Gx
 12  43  42   +11  33  00 M60  Gx
 12  21  54   +04  28  00 M61  Gx
 17  01  12   -30  07  00 M62  Gb
 13  15  48   +42  02  00 M63  Gx
 12  56  42   +21  41  00 M64  Gx Blackeye
 11  18  54   +13  08  00 M65  Gx
 11  20  12   +12  59  00 M66  Gx
 08  50  54   +11  49  00 M67  OC
 12  39  30   -26  45  00 M68  OC
 18  31  24   -32  21  00 M69  Gb
 18  43  12   -32  18  00 M70  Gb
 19  53  48   +18  47  00 M71  Gb
 20  53  30   -12  32  00 M72  Gb
 20  59  00   -12  38  00 M73  OC
 01  36  42   +15  47  00 M74  Gx
 20  06  06   -21  55  00 M75  Gb
 01  42  18   +51  34  00 M76  Pl
 02  42  42   -00 01  00 M77  Gx
 05  46  42   +00  03  00 M78  Nb
 05  24  30   -24  33  00 M79  Gb
 16  17  00   -22  59  00 M80  Gb
 09  55  36   +69  04  00 M81  Gx
 09  55  48   +69  41  00 M82  Gx
 13  37  00   -29  52  00 M83  Gx
 12  25  06   +12  53  00 M84  Gx
 12  25  24   +18  11  00 M85  Gx
 12  26  12   +12  57  00 M86  Gx
 12  30  48   +12  24  00 M87  Gx
 12  32  00   +14  25  00 M88  Gx
 12  35  42   +12  33  00 M89  Gx
 12  36  48   +13  10  00 M90  Gx
 12  35  24   +14  30  00 M91  Gx
 17  17  06   +43  08  00 M92  Gb
 07  44  36   -23  52  00 M93  OC
 12  50  54   +41  07  00 M94  Gx
 10  44  00   +11  42  00 M95  Gx
 10  46  48   +11  49  00 M96  Gx
 11  14  48   +55  01  00 M97  Pl Owl
 12  13  48   +14  54  00 M98  Gx
 12  18  48   +14  25  00 M99  Gx
 12  22  54   +15  49  00 M100 Gx
 14  03  12   +54  21  00 M101 Gx Pinwheel
 14  03  12   +54  21  00 M102 Gx =M101
 01  33  12   +60  42  00 M103 OC
 12  40  00   -11  37  00 M104 Gx Sombrero
 10  47  48   +12  35  00 M105 Gx
 12  19  00   +47  18  00 M106 Gx
 16  32  30   -13  03  00 M107 Gb
 11  11  30   +55  40  00 M108 Gx
 11  57  36   +53  23  00 M109 Gx
 00  40  24   +41  41  00 M110 Gx
