 07 46 44   -20 49 49   37954 7.34 -0.400
 10 44 22   -59 59 28   52526 6.32 -0.310
 03 25 36   +45 30 51   15972 7.50 -0.300
 06 05 59   +12 28 46   28894 7.70 -0.300
 09 37 53   -00 19 04   47252 7.87 -0.300
 21 10 57   +09 32 52   104570 7.44 -0.300
 21 31 24   -19 14 22   106264 7.15 -0.300
 05 45 59   -32 18 24   27204 5.18 -0.274
 08 03 34   -40 00 07   39429 2.21 -0.269 Zeta Pup
 05 31 54   -07 18 07   25923 4.62 -0.261
 05 35 01   -06 00 08   26199 4.78 -0.248
 08 04 46   +06 11 14   39540 7.85 -0.248
 06 31 49   -23 25 05   31125 4.34 -0.245
 12 26 34   -63 05 49   60718 0.77 -0.243 Acrux
 05 24 27   -02 23 51   25281 3.35 -0.240
 06 22 40   -17 57 20   30324 1.98 -0.240
 12 47 41   -59 41 12   62434 1.25 -0.238
 00 41 10   +39 36 06   3237 7.99 -0.236
 05 19 33   -13 10 37   24845 4.29 -0.235
 13 25 10   -11 09 33   65474 0.98 -0.235
 07 13 34   -27 21 20   34924 6.12
 06 40 57   +09 53 46   31978 4.66
 06 15 06   +13 51 05   29678 5.91
 14 03 47   -60 22 16   68702 0.61
 17 33 35   -37 06 13   85927 1.62
 05 13 32   -31 54 17   24355 7.50
 06 10 17   -54 58 07   29276 4.72
 05 34 59   -06 00 34   26197 5.67
 07 53 03   -49 36 43   38500 4.63
 10 48 22   +37 34 21   52849 7.03
 15 21 20   -40 38 46   75141 3.22
 13 49 28   -41 41 09   67464 3.41
 05 25 06   +06 20 58   25336 1.64
 13 58 14   -42 05 56   68245 3.83
 10 42 56   -64 23 32   52419 2.74
 05 23 28   -13 55 39   25202 5.25
 09 11 32   -46 34 56   45122 5.78
 05 38 36   -06 34 27   26535 5.96
 15 35 06   -41 09 55   76297 2.80
 07 37 04   +16 54 18   37074 6.94
 02 39 27   +00 19 36   12387 4.08
 05 36 34   -06 03 54   26345 5.71
 06 53 31   -20 13 25   33092 4.82
 06 58 37   -28 58 18   33579 1.50
 04 36 17   -03 21 12   21444 3.93
 05 35 24   -05 54 37   26241 2.75
 05 37 25   -05 56 19   26427 6.03
 11 16 10   -03 28 11   55051 7.40
 16 52 18   -38 01 01   82545 3.56
 05 23 40   -00 09 36   25223 5.69
 13 58 39   -44 48 06   68282 3.87
 14 59 08   -42 06 09   73334 3.13
 22 39 14   +39 02 53   111841 4.89
 16 00 05   -38 23 44   78384 3.42
 16 35 51   -28 12 55   81266 2.82
 21 01 10   +46 09 15   103732 5.38
 08 50 32   -46 31 39   43413 5.09
 02 22 52   +41 28 41   11099 7.46
 04 29 05   -13 02 57   20922 5.61
 04 57 43   -14 13 57   23060 6.15
 06 11 50   -06 33 01   29417 5.06
 21 28 39   +70 33 32   106032 3.23
